route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
239_2,1,46B,Av. Igreja - Av. EUA / R. Moura Girão,,3,,,
201_0,1,754,Campo Pequeno - Alfragide,,3,,,
239_0,1,46B,Entrecampos / circulação R. Murtas,,3,,,
244_0,1,52B,Sete Rios / circulação Campo Pequeno,,3,,,
123_3,1,701,Av. Forças Armadas - R. Tomás Fonseca / R. A. A. Machado,,3,,,
199_1,1,736,Rossio - Sr. Roubado (Metro),,3,,,
199_0,1,736,Rossio - Odivelas,,3,,,
199_3,1,736,Martim Moniz - Sr. Roubado (Metro),,3,,,
123_0,1,701,Campo Grande (Metro) - Campo Ourique,,3,,,
160_0,1,53E,Ascensor Bica,,3,,,
118_0,1,755,Poço Bispo - Sete Rios,,3,,,
146_3,1,702,Serafina - B. Liberdade,,3,,,
101_0,1,711,Sul e Sueste - Alto Damaia,,3,,,
146_0,1,702,Marquês Pombal - B. Liberdade,,3,,,
